ID,config,goal,goal_optimal,goal_type,total_moves,moveIDs
98763,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'white', 'white', 'white', 'red', 'red', 'blue', 'red', 'white', 'blue', 'blue', 'white', 'white', 'red', 'red', 'red', 'blue', 'blue', 'green', 'white', 'green', 'red', 'green', 'green', 'red', 'blue', 'red', 'green', 'red', 'green', 'green', 'green', 'blue']","cover red all",7,"cover",15,"[(95, 78), 'pass', (104, 61), 'pass', (84, 62), (105, 60), (57, 64), (102, 43), (43, 83), (85, 43), (43, 85), 'pass', (75, 71), 'pass', (93, 70)]",1
98763,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'white', 'white', 'white', 'red', 'red', 'blue', 'red', 'white', 'blue', 'blue', 'white', 'white', 'red', 'red', 'red', 'blue', 'blue', 'green', 'white', 'green', 'red', 'green', 'green', 'red', 'blue', 'red', 'green', 'red', 'green', 'green', 'green', 'blue']","clear nocolor A2",4,"clear",7,"[(57, 74), 'pass', (95, 55), (105, 56), (75, 36), (79, 78), (93, 37)]",1
98763,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'white', 'white', 'white', 'red', 'red', 'blue', 'red', 'white', 'blue', 'blue', 'white', 'white', 'red', 'red', 'red', 'blue', 'blue', 'green', 'white', 'green', 'red', 'green', 'green', 'red', 'blue', 'red', 'green', 'red', 'green', 'green', 'green', 'blue']","fill nocolor B1",13,"fill",13,"[(95, 78), (57, 61), (75, 60), (93, 62), (92, 44), (54, 43), (73, 42), (72, 26), (90, 25), (91, 24), (82, 8), (101, 7), (81, 6)]",1
98763,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'white', 'white', 'white', 'red', 'red', 'blue', 'red', 'white', 'blue', 'blue', 'white', 'white', 'red', 'red', 'red', 'blue', 'blue', 'green', 'white', 'green', 'red', 'green', 'green', 'red', 'blue', 'red', 'green', 'red', 'green', 'green', 'green', 'blue']","uncover blue all",5,"uncover",35,"[(73, 94), 'pass', (57, 77), 'pass', (89, 62), (88, 61), (82, 78), (101, 60), (75, 74), (100, 73), (81, 56), (84, 55), (85, 38), (107, 37), (54, 20), (72, 19), (90, 100), (103, 101), (19, 90), (20, 72), (102, 76), (104, 75), (105, 59), (106, 58), (37, 102), (38, 103), (56, 104), (55, 86), (86, 105), 'pass', (74, 106), (73, 107), (101, 44), (100, 43), (72, 101)]",1
98763,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'white', 'white', 'white', 'red', 'red', 'blue', 'red', 'white', 'blue', 'blue', 'white', 'white', 'red', 'red', 'red', 'blue', 'blue', 'green', 'white', 'green', 'red', 'green', 'green', 'red', 'blue', 'red', 'green', 'red', 'green', 'green', 'green', 'blue']","move blue B2",11,"move",16,"[(101, 94), 'pass', (84, 101), (85, 83), (54, 65), (82, 78), (72, 82), (81, 64), (99, 60), (92, 99), (73, 92), (91, 81), (57, 77), (75, 63), (89, 86), (107, 47)]",1
98763,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'white', 'white', 'white', 'red', 'red', 'blue', 'red', 'white', 'blue', 'blue', 'white', 'white', 'red', 'red', 'red', 'blue', 'blue', 'green', 'white', 'green', 'red', 'green', 'green', 'red', 'blue', 'red', 'green', 'red', 'green', 'green', 'green', 'blue']","fill nocolor A2",14,"fill",17,"[(79, 94), 'pass', (80, 76), (82, 58), (97, 77), (96, 40), (98, 59), 'pass', (105, 39), (88, 22), (106, 21), (89, 4), (104, 41), (85, 104), (54, 3), (104, 23), (73, 5)]",1
98763,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'white', 'white', 'white', 'red', 'red', 'blue', 'red', 'white', 'blue', 'blue', 'white', 'white', 'red', 'red', 'red', 'blue', 'blue', 'green', 'white', 'green', 'red', 'green', 'green', 'red', 'blue', 'red', 'green', 'red', 'green', 'green', 'green', 'blue']","cover green all",5,"cover",11,"[(54, 55), (72, 37), (37, 77), 'pass', (90, 39), (55, 59), (59, 55), 'pass', (85, 86), 'pass', (89, 87)]",1
98763,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'white', 'white', 'white', 'red', 'red', 'blue', 'red', 'white', 'blue', 'blue', 'white', 'white', 'red', 'red', 'red', 'blue', 'blue', 'green', 'white', 'green', 'red', 'green', 'green', 'red', 'blue', 'red', 'green', 'red', 'green', 'green', 'green', 'blue']","move blue B",11,"move",19,"[(81, 83), 'pass', (99, 78), 'pass', (54, 99), (72, 81), (84, 63), 'pass', (85, 45), (83, 27), (92, 9), (73, 92), (101, 86), (82, 85), (91, 101), (89, 87), (107, 82), (57, 94), (75, 83)]",1
98763,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'white', 'white', 'white', 'red', 'red', 'blue', 'red', 'white', 'blue', 'blue', 'white', 'white', 'red', 'red', 'red', 'blue', 'blue', 'green', 'white', 'green', 'red', 'green', 'green', 'red', 'blue', 'red', 'green', 'red', 'green', 'green', 'green', 'blue']","clear nocolor C",10,"clear",11,"[(88, 78), (89, 62), (107, 74), 'pass', (85, 56), (84, 55), (102, 94), (104, 77), (105, 76), (106, 59), (103, 83)]",1
98763,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'white', 'white', 'white', 'red', 'red', 'blue', 'red', 'white', 'blue', 'blue', 'white', 'white', 'red', 'red', 'red', 'blue', 'blue', 'green', 'white', 'green', 'red', 'green', 'green', 'red', 'blue', 'red', 'green', 'red', 'green', 'green', 'green', 'blue']","uncover red all",4,"uncover",7,"[(54, 94), (72, 76), (81, 58), (82, 81), (81, 82), 'pass', (85, 86)]",1
42292,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'red', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'blue', 'white', 'red', 'red', 'white', 'white', 'blue', 'red', 'white', 'green', 'blue', 'white', 'green', 'red', 'blue', 'red', 'green', 'blue', 'red', 'red', 'green', 'green', 'white', 'green', 'green', 'green', 'green', 'blue', 'red', 'blue', 'blue', 'blue']","fill nocolor C1",13,"fill",14,"[(60, 84), (90, 66), (75, 67), 'pass', (91, 68), (92, 49), (76, 48), (94, 50), (93, 30), (95, 32), (78, 14), (96, 31), (88, 13), (82, 12)]",1
42292,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'red', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'blue', 'white', 'red', 'red', 'white', 'white', 'blue', 'red', 'white', 'green', 'blue', 'white', 'green', 'red', 'blue', 'red', 'green', 'blue', 'red', 'red', 'green', 'green', 'white', 'green', 'green', 'green', 'green', 'blue', 'red', 'blue', 'blue', 'blue']","move blue A2",11,"move",19,"[(90, 77), 'pass', (82, 59), (86, 58), (105, 41), (99, 57), (57, 74), 'pass', (75, 56), 'pass', (85, 84), (103, 42), (42, 40), (60, 22), (88, 105), 'pass', (106, 75), (89, 82), (107, 57)]",1
42292,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'red', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'blue', 'white', 'red', 'red', 'white', 'white', 'blue', 'red', 'white', 'green', 'blue', 'white', 'green', 'red', 'blue', 'red', 'green', 'blue', 'red', 'red', 'green', 'green', 'white', 'green', 'green', 'green', 'green', 'blue', 'red', 'blue', 'blue', 'blue']","uncover blue all",4,"uncover",5,"[(75, 98), 'pass', (85, 81), (88, 80), (89, 73)]",1
42292,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'red', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'blue', 'white', 'red', 'red', 'white', 'white', 'blue', 'red', 'white', 'green', 'blue', 'white', 'green', 'red', 'blue', 'red', 'green', 'blue', 'red', 'red', 'green', 'green', 'white', 'green', 'green', 'green', 'green', 'blue', 'red', 'blue', 'blue', 'blue']","cover green all",6,"cover",15,"[(61, 98), 'pass', (79, 80), 'pass', (60, 57), 'pass', (80, 79), 'pass', (65, 81), 'pass', (89, 70), (91, 74), (86, 67), 'pass', (104, 84)]",1
42292,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'red', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'blue', 'white', 'red', 'red', 'white', 'white', 'blue', 'red', 'white', 'green', 'blue', 'white', 'green', 'red', 'blue', 'red', 'green', 'blue', 'red', 'red', 'green', 'green', 'white', 'green', 'green', 'green', 'green', 'blue', 'red', 'blue', 'blue', 'blue']","fill nocolor C2",13,"fill",17,"[(90, 87), (61, 42), (91, 69), (92, 58), (75, 70), 'pass', (93, 71), 'pass', (58, 51), (76, 52), (94, 53), (95, 33), (42, 34), (60, 35), (79, 15), (78, 16), (65, 17)]",1
